Albedo 0xac652e43
LensScale 0xeece6aa3
LifetimeDrawMult 0x3aef5343
LifetimeExp 0x062bde33
LinearFadeOffsets 0xa66c75e2
LodCameraPos 0x862904d2
LodFadeLevel 0x8b8e7a4d
LookupPhaseSpeed 0xcc7d1e0c
LookupWeight 0x73e06d8d
LumMin 0xa35bc4f7
LumMinRemap 0x0492a749
LuminocityExp 0x2ca054d5
LuminosityOpacity 0xf7345fe3
LutContrast 0xf66babdb
LutMixBiomeA 0x3befcb4d
LutMixBiomeB 0x60179afe
LutOffset 0x8fd1d21a
MaskScale 0x65777b10
MaskSharpnessBiome 0xb2198f28
MaskSharpnessLut 0x42c1f33f
MaskVariation 0xeaf7e76b
MaterialIndex 0x51764e98
MaterialVariable 0x70733edd
MaterialWetness 0x2f77b77e
Material1Metallic 0xaf0cc9eb
Material2Metallic 0xc9a20fea
Material3Metallic 0x6faeaab2
Material4Metallic 0x626a0dea
Material5Metallic 0x910e7a65
Material6Metallic 0xd2f08ded
Material7Metallic 0x45ded6a2
Material8Metallic 0x42af02e2
Material1RoughnessBase 0xdaeb0bb8
Material2RoughnessBase 0x643edc95
Material3RoughnessBase 0x3b497b46
Material4RoughnessBase 0xc53eefd7
Material5RoughnessBase 0xca77a10e
Material6RoughnessBase 0x5afe729b
Material7RoughnessBase 0x253d7000
Material8RoughnessBase 0xc44740ce
Material1RoughnessBuildUp 0x90a9f367
Material2RoughnessBuildUp 0x2fc67a7f
Material3RoughnessBuildUp 0x6b2265c1
Material4RoughnessBuildUp 0xe8d3eb2b
Material5RoughnessBuildUp 0x098114da
Material6RoughnessBuildUp 0x547e1075
Material7RoughnessBuildUp 0x4e1163ac
Material8RoughnessBuildUp 0xd8e6fd76
Material1Surface 0xdf83e2df
Material2Surface 0x700dcf36
Material3Surface 0xc4c6e576
Material4Surface 0x5b49d65d
Material5Surface 0x26f326b5
Material6Surface 0xee28bf90
Material7Surface 0x79c17d85
Material8Surface 0xc39b826d
Material1SurfaceNormal 0xf3f210cc
Material2SurfaceNormal 0x17d76d59
Material3SurfaceNormal 0xfef01a44
Material4SurfaceNormal 0xd6003096
Material5SurfaceNormal 0x78780de6
Material6SurfaceNormal 0x4d1c3d67
Material7SurfaceNormal 0xa070cbbb
Material8SurfaceNormal 0x1d2ababe
Material1SurfaceRoughness 0x711f20c0
Material2SurfaceRoughness 0x180c0f64
Material3SurfaceRoughness 0x460c3989
Material4SurfaceRoughness 0xfbeccc0b
Material5SurfaceRoughness 0x03953944
Material6SurfaceRoughness 0xc99c1acd
Material7SurfaceRoughness 0xc8ae0472
Material8SurfaceRoughness 0x9c15fe93
Material1SurfaceValue 0x6c572070
Material2SurfaceValue 0xe8e2df96
Material3SurfaceValue 0x24443f71
Material4SurfaceValue 0x68df1c10
Material5SurfaceValue 0x72c7e9c3
Material6SurfaceValue 0x2f209ca7
Material7SurfaceValue 0x8f9030d5
Material8SurfaceValue 0x7d2a970e
Material01TileMultiplier 0xc644acfd
Material02TileMultiplier 0x96e6e3da
Material03TileMultiplier 0xc0a64f07
Material04TileMultiplier 0xd3cd4d57
Material05TileMultiplier 0xa0efa5e1
Material06TileMultiplier 0x43dd57e1
Material07TileMultiplier 0x11d6e86d
Material08TileMultiplier 0x71a943cc
Material1WearCavityEdge 0xf20147fa
Material2WearCavityEdge 0x4601a106
Material4WearCavityEdge 0xa9fdbe64
Material5WearCavityEdge 0xf93a43ad
Material6WearCavityEdge 0xe740c470
Material7WearCavityEdge 0x47330096
Material2WearCavityEdge01 0x475b1de3
Material2WearCavityEdge06 0x40c4aa65
MaxEmissive 0xc09ffbfb
Metalic 0x61553d50
Metallic01 0x11941d3a
MetallicOpacity 0xcd72af93
MicroAo 0xb73551ec
MicroAoIntensity 0x6a0b8014
MinEmissive 0x0e938de6
Multiply 0x0a32bdf8
Noise01Channel 0xb0f6a5c4
Noise01Exp 0x69da8139
Noise01ExpMax 0xe53aed1d
Noise01ExpMin 0x86044187
Noise01Minmax 0x764f9cef
Noise01Speed 0x3f591185
Noise01Tile 0x95da4b25
Noise02Channel 0x2ff13575
Noise02Exp 0xa3b1ad25
Noise02Minmax 0x78c223b4
Noise02Speed 0xb961d0c7
Noise02Tile 0x0dfd4183
NoiseChannel 0x19aa33b6
NoiseChannel02 0x9d5fd779
NoiseExp 0xdf914ea5
NoiseMax 0x9b5dbb91
NoiseMin 0x16f25bca
NoiseMult 0xc6b79ab1
NoiseOffset 0x5727dc8a
NoiseScale 0x53d111f6
NoiseStrength 0x7bb4b328
NormalCcnormOpacity 0x53a2e583
NormalIntensity 0xb01fb18d
NormalIntensityBiomeA 0xfc6ed011
NormalIntensityBiomeB 0x2b8f220a
NormalIntensityGround 0x1af055be
NormalIntensityVistaDetail 0xea3791b9
NormalMirroring 0xeb55ac15
NormalOverLife 0x198c16b4
NormalPullUp 0x7dda1c04
NrmStr 0xbe8a0ddb
NumTiles 0xdc03e5b6
OffsetExp 0x7c53ba41
OffsetFlashExp 0x3345a139
OffsetFlashMult 0x60842ae2
OffsetMax 0xdd2d6e43
OffsetMin 0x82d956a6
OffsetMult 0x21904b30
OpacityOffset 0xccddd706
OpacitySharpness 0xcb8c5728
OpacityThreshold 0x529a4aaf
OpacityThresholdFar 0xe8b5732a
OpacityTreshholdFadeDistanceInv 0x76a39cf8
OverlayMaskAmount 0x9b2f7128
PaletteSlot 0xf6dc872e
ParallaxBias 0x9b56d88b
ParallaxIntensity 0x965ad445
ParallaxIntensityCloud 0x534a9352
ParallaxScale 0x12e9c61b
ParticleAgeLife 0x686cdd17
ParticleColorOnly 0x8bdc17ff
PlanetRoughnessIntesity 0xbb2198cd
PlanetScaleMult 0xb7f77596
PlanetShadowDistanceFalloff 0x291104de
PlanetWpPos 0xc6af80ca
PlanetWpScale 0x2dc4052a
PointTaper 0xc5b5e1bd
Power 0x21e1cde6
PreventTerrainDeformation 0xc012efe1
PreventsTerrainDeformation 0xcfe823b0
RampDownExpHacky 0xe9cdbcc7
RayleighBetaSpaceplanet 0x9bfa2046
RegionPositionOffset 0x549d02af
RemapMinValue 0x82aa6dd0
ResolutionSetting 0x43695f7b
ReticleColor 0xfa2ceef2
RiverAmount 0x4b8e8949
RiverSmooth 0xedd856cf
Roughness 0xea2298b5
RoughnessMulti 0xe3847c92
RoughnessOpacity 0x57a7bab2
SampleTerrainAlbedo 0xc89c53ec
ScalarFieldCutoff 0x87a3226d
ScanSpeed 0xfb60747e
Scanline01Intensity 0x90ff9fe3
Scanline02Intensity 0xad71ebb1
ScanlineCount 0x9701870a
ScanlineCount02 0xf8469f32
ScanlineDistScale 0x67043721
ScanlineThickness 0x27c9cffb
ScanlineThickness02 0x8bc3a6cb
SecondOpacityInfluence 0xe24dd6c8
SecondOpacityMin 0x7b103e3c
SecondOpacityStart 0xc07ff215
SelectedOffset 0x85c1a314
SelectedScale 0xfe83d8dc
SelfEmissiveColor 0xabc2e1d1
SelfEmissiveIntensity 0xa4ef22dd
SelfPlanetIndex 0xb480e8e2
ShadowClampToNearPlane 0xf682b26b
ShadowIntensity 0x551edfd1
ShadowsCasting 0x4a20cc26
ShallowWaterColor 0x4ce36e31
ShieldId 0xce2d8adf
SkipFacing 0x4e6ecddb
SnowAmount 0xd8686aae
SnowFromBottom 0xc840fedf
SnowFromHeight 0x9c70de00
SnowFromNormal 0xae31a7b7
SnowFromTop 0xadba2550
SnowHardnessBottom 0xaf445998
SnowHardnessTop 0x018a050f
SnowIndex 0x016ba55d
SnowIndex0 0xc4dd3513
SnowMask 0x5dee8603
SnowMaskDepth 0xf05c45d6
SnowMaskHardness 0xe15c44a6
SnowMaskTile 0xbb500d15
SnowNormalDisplacement 0xb4a7f867
SnowNormalIntensity 0xe9b95c8d
SnowNormalIntensity01 0x8696ab8f
SnowNormalMask 0x034f906a
SnowPerZoneDisabling 0x0a3201b6
SnowSsThickness 0xb66f02b6
SnowTile 0xed8bddbe
SnowTile01 0x76a3727d
SnowTrampleNormalBlur 0x408666ca
SnowTrampleNormalIntensity 0xdb7dbe33
SnowUpDisplacement 0x8399b37b
SpecialGunkColor 0x300e404d
Specular 0xb043861b
SpecularCurve 0xd4f0d374
SpecularIntensity 0xb4888905
SpecularMulti 0xfc3a0cce
Speed 0x2c1c82c8
SsDiffusion 0x68c8ea95
SsIntensityMult 0xccd376a1
SsThickness 0xeb6d5aa8
SssIntensity 0xf5c7ccd2
SssWrap 0xba2ffb95
StarColor 0x40582607
StarOpacities 0x7abc9146
StarTilingAmount 0xb8d05848
SubsurfaceDiff 0xc32c22cb
SubsurfaceDiffusion 0xd43cfc8b
SubsurfaceFadeCurve 0x519aa783
SubsurfaceFadeDistance 0x460fa0f8
SubsurfaceInt 0x7ed050fb
SubsurfaceIntensity 0x38dae7bd
SubsurfaceOcclusionIntensity 0xe7d8cbf8
SubsurfaceOcclusionMaskcurve 0x64ca4a51
SubsurfaceThickness 0x15e00526
SubsurfaceTint 0x304b6073
SubsurfaceWrap 0x2c9d0736
SunCol 0x0a926caa
SunColorOverride 0x51c4d38c
SunDir 0xdf33e43d
SunDirectionOverride 0x32829be8
TaperExp 0xa12e9fe8
TearAmount 0xf299681b
TerrainBlendCurve 0x5920e53e
TerrainBlendHeight 0x16180767
TerrainColorLerp 0x74e52404
TerrainPatchSize 0x725e623e
TerrainSize 0xaa464213
TerrainTiling 0x2bb8e7a6
Test01 0x7a3a6f92
Test02 0xd707d37a
Test03 0xc167182b
TexIsGreyscale 0xa9b3eb2d
TileFactor 0x4c8f6ef3
TileFactorCloudsEdges 0x533d5194
TileFactorCloudsInside 0x547b5d08
TileFactorNoise 0x172ff707
TileSize 0x8dd38245
TilerAoIntensity 0xd90d2e8c
TilerNormalIntensity 0x90dd5645
Tiling 0xf8df3d62
TilingFactor 0xa8f68dd2
TilingGround 0xeb121575
TilingVistaDetail 0xf5b036a5
TimeAdd 0xd90fd931
TimeMult 0x0bb5e2d9
TimeMultiplier 0x68dee0fc
Tint 0xf0d16ec3
Tint01 0x38e14032
Tint02 0x3a89b151
TintMaskColor 0xc3befbff
TipGradientRemap 0x36727284
TopColorTint 0x4f18baf8
TopDirtValue 0xc1eae640
TrampleAmount 0x0e76b081
TrampleFootstepMipBlur 0x08fe34f0
TrampleFootstepNormalWeight 0x2bc0d12c
TrampleMakeWetWeight 0xd061d671
TrampleMiscWeight 0xa8f87c34
TrampleNormalWeight 0x326b7f53
TramplePuddleWeight 0x80955bf8
TrampleSnowIndex 0x672627e1
TreeDepthScale 0x2f9388b5
TriplanarDetailTiler 0xc2e279d7
TriplanarDetailTiler0 0x9358daf0
TriplanarDetailTiler1 0x59536f91
TriplanarMaskSharpen 0x0c9a0b54
TriplanarNormalIntensity 0xe2256f0a
TriplanarTiling 0xbd97146f
TriplanarVertexNormalLerp 0x182674ab
Turbulence 0x2c799306
UnderlyingNormalBehindDecalOpacity 0x16790495
UpFadeCurve 0xaf328b9c
UpFadeDistance 0x49a6212e
UseCcrouSpecIrWet 0xedb40b00
UseChannelRForWater 0xe148526a
UseErodeMap 0xd588b138
UseForwardAxis 0x322fc2f6
UseFresnel 0xec449df3
UseLargeWoundLookup 0xee28022c
UseNormalMap 0x6d98475a
UseNormalMapAlpha 0x4ec7b525
UseObjectCameraTransform 0x5535c51f
UseParallax 0xeeea0640
UseParticleAlpha 0x44b30730
UseSss 0x9c857d5d
UseTrample 0x63e8fb5f
UseUpVector 0x41848a5d
UvDistortion 0x7e5a29de
UvExp 0x14f54d76
UvMappingTechniques 0x2aa849e7
UvOffset 0x312af125
UvRect 0xf8f6cf90
UvRotate01 0x851c66a8
UvRotate02 0x36bb3e24
UvScale 0x42f8951f
UvScalingMult 0xeec7e67e
UvScalingRatio 0x600047db
VertexDeformationFlags 0x75375353
WaterColor 0x5febd863
WaterContrast 0x1a077cd6
WaterOpacity 0x219e6755
WaterRotate 0xaa2dd43a
WeatheringAmount 0x9134dae5
WeatheringAoAmount 0x1b7ecef5
WeatheringAoCutoff 0x581549f3
WeatheringCoverage 0x4a7cd0ef
WeatheringCoverageMultiplier 0x846db408
WeatheringCurve 0x8f6ce1e4
WeatheringDirtWeightsNegative 0xed874ebf
WeatheringDirtWeightsPositive 0xb3f0a394
WeatheringDynamicTiling 0xbd16a396
WeatheringHeight 0x8b37df5a
WeatheringHeightCurve 0xecc7d525
WeatheringMasking 0x9ed04da2
WeatheringNormalIntensity 0x54d24dfc
WeatheringNormalMult 0xa99c8a7e
WeatheringOnDirtAmount 0x0a34cea3
WeatheringSpecialCase 0x3c015556
WeatheringSpecialWeightsNegative 0xf6400b64
WeatheringSpecialWeightsPositive 0x981aafb0
WeatheringThickness 0x1bf10d7f
WeatheringTileFactor 0xe8c432eb
WeatheringTiling 0x325d6bd5
WeatheringUpFadeInfluence 0x5f01c74b
WeatheringVariant 0x60e7d2a1
WeatheringWrap 0xf62ae492
Wetness 0x43c7218a
WetnessBottom 0xa02f567b
WetnessPuddles 0xcba02151
World 0x4d46ae3b
WorldMaskSize 0xefcc0fe9
WoundPaintingEnabled 0x4485c321
WoundParallaxScale 0x613a8a38
WoundTileScale 0x2e2fcb48
WoundableId 0x6f2bffb2
ZoneWetness 0x26cbbde4
AddEmissiveScrolling 0x8ae54a2b
AddOpacity 0xb0c49839
AlbedoColorDesaturation 0xfed55543
AlbedoColorLerp 0x2b732d60
AlbedoColorMip 0x82dfb7d3
AlphaExp 0x64f2868c
AlphaMult 0xe68b5074
AlphaMultiplier2 0xd679b774
AlphaThreshold 0x0c8363eb
AmbientColorAmount 0xd622553e
AmbientOcclusionWeights 0xaae21770
AmmoCapacity 0x6eefd0d1
Amplitude 0xe0ec70a9
AngleEnd 0x823b90ed
AngleFadeExp 0xcce4ba13
AngleFresnel 0xbf09c92a
AngleGradientScale 0x2cad5a1f
AngleStart 0xeba4a5a8
AxisColor 0x59695a18
AxisLineSharpness 0x972b1e29
AxisLineThickness 0xe8c4482a
AxisMult 0xdd130910
AxisPadding 0x0d951bd4
B2DistortionLarge 0xc430e29c
B2DistortionSmall 0x68829a1c
B2Noise01Channel 0x0a7e1254
B2Noise01Speed 0xe7682663
B2Noise01Tile 0x1b47278e
B2Noise02Channel 0xde7034e2
B2Noise02Speed 0xb800d119
B2Noise02Tile 0x6b887997
BackgroundColor 0x891040b8
BaseColorAlpha 0xb008f68a
BaseColor_ 0x604318cd
BaseThinness 0x86344b98
BeamCoreThinness 0x2d399cca
BhCentDist 0xce802daf
Bhintenseon 0x54246124
BoostPeaks 0x5bc30965
BoostVallys 0x1e9ec386
Brightness 0x07bbee89
BrightnessMult 0x97cf0009
CavityPow 0xe06db148
CavityThreshold 0x7bd39399
CenterFalloff 0x4c299bd1
CenterInnerRadius 0x2b3aa353
ChangePercentage 0x1df2c1e6
CliffAlpha 0x87f8dc30
CliffColor 0xdf1e570f
Color01 0x96dfb549
Color01Intensity 0x02ee2656
Color02 0xad2f868a
Color02Intensity 0xedc552b1
ColorChange 0x1b07e0c4
ColorFade 0x9d782651
ColorFull 0xff89c5af
ColorInner 0xd36712f7
ColorLeanExp 0x72887c06
ColorLerp 0xc444a395
ColorOuter 0x5a22c0ca
ColumnsAndRows 0xe6ebc453
CoreExp 0x29e828f8
CoreMult 0xbc4ef90e
CoreOpacityMult 0xcacfc6ba
DecalFadeStart 0x3809a4d1
DepthDist 0x1dd9c5c9
DepthMultipiler 0x39e65fb0
DisplayMagazine 0x978885fc
Dist 0x827e983e
DistortionLarge 0x0481ce23
DistortionSmall 0xdb45914e
DistortionStr 0xa2325266
DistortionUSpeed 0x3b8bef30
DrawOn 0x5f40ec4c
Dustiness 0x3ee30462
EdgeFadeDarkening 0x9fadab41
EdgeFadeDistance 0xe31d27b9
EdgeFadeOpacity 0x5b67ea9f
EmissiveExp 0x998f874c
EmissiveTint 0xf19782b9
EnableColorChange 0x2e91dae6
EndDistMask 0x1c7b5f3e
EnergySpeed 0x3de9c7d6
EnergyTile 0x23daadea
FadeTop 0xf812a68d
FarMax 0x40a8fa6f
FarMin 0x9a5df839
FeedMipLevel 0xab0ba720
FillTint 0x5b514e57
FlatBottom 0xc1a65f78
FlickerSpeed 0x1166ef8a
FogGenerationColor 0xae157c82
FogGenerationDensityMax 0x65330240
FogGenerationDensityMin 0x88b59066
FogGenerationFallOff 0x0c1b9a7f
FogGenerationHeight 0x60852f5b
FogGenerationNoiseScale 0xd1935ea1
ForegroundAlpha 0xa9e74c5f
ForegroundColor 0x21058508
Frequency 0xce6a758b
FrostWeight1 0x601e26de
FrostWeight2 0x36871684
GlitchAmountScalar 0x30f22966
GlowExp 0x26526a5c
GraphIntegralColorMult 0xd1f30597
GraphIntegralOpacityMult 0x367829e1
GraphLineSharpnes 0x9034b3a5
GraphLineThickness 0x02b77bda
HeightGradientScale 0x59a5a05b
HeightLimitEnd 0xf6a90ebe
HeightLimitStart 0xf4e7dfb0
HeightModifier 0x86c1090b
HeightMultiplier 0x2b287b41
HideInHologramLayers 0x32d68106
HologramEffectType 0x7bda7777
IgnoreFlatteningLookup 0x8e70d7e8
InvDotSize 0x8ba75892
InverseDepth 0x9eb70a83
InverseDepthDist 0xe848b009
InvertLifetime 0xb3423d91
LifetimeExponent 0x37a41249
LifetimeMult 0xe1eb0cf7
LineColor 0x3cd950f3
LineColorOpacity 0x296969ae
LocationDistance 0xfdb3c086
LocationGradientScale 0xa713d190
Looping 0x9ec83234
LowValue 0x8a8534a7
LuminocityCurve 0x90324e35
LumonocityCurve 0x3a8959a9
LutExp 0x018ec4c0
MaskEnds 0x5ac0b79f
MaskExp 0x7aadcdfd
MaskFalloff 0x4a955005
MaskInnerRadius 0x279bd271
MaskMult 0xd6c20efb
Maskstrength 0x0ff276ec
Material 0xeac0b497
MaterialIndexChannelGreen 0x42745760
MaterialIndexChannelRed 0xe4bd84db
MaterialLookup 0x946d9649
MaterialVariable030aff38 0x828bcddf
MaterialVariable2e0311cc 0x23e7ae03
MaterialVariable8c87a458 0x07efc21d
MaxDisplayedMagazines 0xc54cfc02
MaxLuminocity 0xfb41ff30
Maximum 0xc1f77e19
Metallic 0x2e541d4f
MinLuminocity 0x4daefcad
MinTexExp 0x28c14eb6
MinTexExp01 0xb839cd88
Minimum 0x10be48f1
MipLevel 0x48dae238
MossWeight 0x56dc3c0d
MossWeight1 0x1f781a88
MossWeight2 0x03e48433
MultCenter 0x869cf9ce
MultThinness 0x9a847caa
NoiseBias 0xb800acde
NoiseId 0xa751d97b
NoiseSharpness 0x044ca76e
NoiseSpeed01 0xd52a9f41
NoiseSpeed02 0x00359199
NoiseTile01 0x9fcca591
NoiseTile02 0x5ecc383a
NoiseTiling 0x5ab974e2
Offset01Speed 0x69f55ac9
Offset01Tile 0x29fbf7b0
Offset02Speed 0x070eea28
Offset02Tile 0x63e38bca
OffsetEdgeTighten 0xbee72dac
Opacity 0x2bbe599c
OpacityGradientExp 0xb5bcded8
OpacityMult 0x718ea144
OpacityRampExp 0xb207f8d3
OpacityStealth 0x6d7e472e
OpacityStrength 0x49150525
OuterGlowExp 0x70ba9972
OuterGlowMult 0x94b46406
Padding 0x76bc7a45
PanningSpeed1 0x688d06d3
PanningSpeed2 0x843a9f56
PathDistance 0x67afbeb7
PathDistanceEnd 0x52bfcb36
PathDistanceStart 0x83cd3baa
PathGradientScale 0x0adc0538
PeakPow 0x71ab2501
PeakThreshold 0x2eaf185f
Percent 0x05d58512
Percentage 0xac51d955
ProxyColor 0xf130f567
RadialUvs 0x24908e62
RandomFlipping 0x048f369c
RemapLow 0x5186557c
RemapLum 0xfb77f5d6
RidgePow 0xeaa8311f
RidgeThreshold 0x35e61a90
RidgesCount 0x851c7106
RidgesStrength 0xb57a4a0e
RoadColor 0x45fe8935
RoadOpacity 0x5a5a5cde
RoadWidth 0xc9d45d0b
RotationSpeed 0x63c14834
RoundsRemaining 0xd7a5d63e
RouteColor 0x53493975
RouteOpacity 0x077e7921
RouteWidth 0xaed57617
ScrollSpeed 0x530f50f8
ShadowHeightMultiplier 0x5e2fd8f5
SidewaysDarkening 0xe17b0fe0
SinSpeed 0x52eadb9a
SineWaveLow 0xc73477e0
SkydomeIntensity 0xbaf07da4
SlopeSharpen 0x58a9c3b2
SnowBasecolor 0xb9a42f2f
SnowTiling 0xc2ee594b
SnowWeight 0xe46c595a
SnowWeight1 0xa6eacaa5
SnowWeight2 0x23f28b3e
StampFlattenFactor 0x7c11602c
StartAngle 0x3b936cd5
StrokeScale 0x76c9b2ef
SubsurfaceColor 0x2fd40348
TerrainNormalMip 0x9ddfe498
TerrainProperties1Mip 0x7180d7ec
TerrainProperties2Mip 0x3939136c
TerrainPropertiesMip 0x0393bbe2
TerrainPropertiesMipMix 0x7d6d52d4
TerrainTypeLut 0xaf783e61
TexExp 0x1d8e733d
TexExpSlider 0x398306b5
TextureOffset 0xb79d2d98
TextureScale 0xcfc57df4
ThickenMax 0x3ffb6882
ThickenMin 0x2c654973
ThinnerMax 0xab0f1f7d
ThinnerMin 0xdd46ee06
TilerMaxValue 0xabd0e693
TilerMinValue 0xfd108733
TilerMultiplier 0xe10466cd
TilingMult 0xba7399d2
TilingScale 0xd4013430
TimeSpeed 0x056b17ae
TipIntensityTighten 0x4d600275
TopFadeExp 0x2f7d2316
UpFadeEnd 0x84832584
UpFadeStart 0x37943f51
UseEmissiveMap 0xd182df18
UseNormalMap2 0x014dddd9
UseNormalMapAlpha2 0xc7335d3f
UseParticleColor 0xd69ea7ae
UseParticleLife 0x4adad7f1
UvMultiplier 0xb67c4d31
Uvtiling 0x6096304c
ValueBias 0x7b1f9f0b
ValueScale 0xf08f9955
VisualizeBlocker 0x8945388c
WaterDeepColor 0xabda42b2
WaterDensity 0x575a05df
WaterMaterialSharpness 0x492c965d
WaterOpacityCutoff 0x959ab26d
WaterShallowColor 0x70da9994
WetnessWeight 0x419f80ae
WetnessWeight1 0xcc2ae0ec
WetnessWeight2 0xfd255e0b
WidthOffset 0xeac487ef
Wiggle01 0x2cb9e251
Wiggle02 0xc067e757
WiggleMaster 0xf8119935
WindResponse 0x6f2ac11b
YFadeScale 0x0b2f83f1
DropSelectGridGlowWidth 0xd28378ac
TearOverlayInvScale 0xfa06358d
WeatheringTile 0x1b648c9d
TerrainAlbedoLerp 0xac05434b
SampClampPoint 0x4ca8729d
MaskSmoothstepMin 0x29463133
TexHeightmapHighlands 0xa5fd5b59
SampGradientMap 0x348acf5f
YFadeScale 0xb2f83f1
TexGridTextureMap 0x48c0b3ba
NoiseAddExtra 0x64b9c2ef
PrimaryMaterialHasAlbedoTexture 0xc9a88042
TexAlbedoColor 0xe180bc8f
BloodMaskBackwardOpacity 0x321aa7ce
TextureOpacityMax 0x76660661
Qkkhsvb 0xca62a2a6
HologramDsAmbientColor 0x1edfdf64
PaletteSlotA 0x6377de4e
BdataOffset 0x51b10677
MinOpac 0x8ac92075
TexVolumetricCloudsColorProbe 0x9b7adfe
Maxscale 0xea9477e1
Emissivebasecolor 0xdd8f51cb
UseProceduralMask 0xda79ee14
TexGlobalDiffuseMap 0x7b570f5d
ClothDetailTile 0x5e41cc75
DensityMultiplier 0x15b38b1f
NormalMaskMin 0xc74e6abb
UseCylindricalUv 0x2c5ef271
SvInsidetessfactor 0x395c8822
TexMinimapHeightmap 0xb0913aae
MaskAlphaChannel 0x7d2d3312
ConeAlterSize 0x374b3d1a
TexVegetationBending 0x5225a156
TexBluenoiseTexture 0x6281b327
HologramDsSunDirection 0x8bea82be
SecondaryColorVariationMetallicBlend 0xaf73de42
SampUvNoiseTex 0x11667aeb
NormalDirectionMask 0x4e96d197
SampCloudMask 0xc4ca8fa6
Distscale 0xa3a280e9
SampDistressTexture 0x32069f1f
CutoffStart 0x674418c0
RibbonColorOffset 0x94ab48c9
WindSpeed 0xfd56ca9c
CsLightShadowMatricesSize 0x774f9271
BlackBaseColor 0xb7de2222
TrackOffset 0xf24bb5b7
SampGalaxyShape 0x5f975b09
MaskCenterFalloff 0xc9fc4f
EdgeTighten 0x89cec54d
TexDecalSheet 0xc07addb
PaletteGradHeightWeight 0x12c2fc3f
BarrelOffset 0x950b0164
TentacleWiggleSpeed 0x3d001c12
TileV 0xd4dbce0a
EmissiveColorCuravture 0xa26623eb
SampTextureData 0xa0640bb
TexTile 0xa7000e85
UseAngleFade 0xefe27c53
ColorFresnel 0x25f4630d
ScenarioOverlayRoughness 0xa8cce8f3
TexPaletteLut 0x337dc4fd
VisibilityIndexSize 0x959a28f6
BOffsetMin 0x9aa1b5da
BacksideColor 0xb0b71cc7
GOffsetMax 0x11aec1ed
SampHeightmapLowlands 0x6780191c
Shexlf 0x86ba3964
Shexxq 0xf5bb3b63
BadgePositionScale 0x6db57cfa
SampNarTexture 0x5b4f5243
TexLensOcclusionTexture 0xf41fe6f
UseMaskTex 0xcdecfabe
TexFlashMask 0x805e9e3d
SampGlintSample 0xb609a976
OpacityBase 0xab58e70d
SampContinentsTextureMap 0x4837fd17
AlphaFadeHarshness 0x3926f0ca
NoiseExpMin 0x3b420673
TexShadowOpacity 0x56cd5cc6
SampSpecularBrdfLut 0x8ee9d0c2
TexBloodOverlayNormalGrayscale 0x946cced
CHologramCommon 0x86e19dbc
ChargeColor 0x50832115
FenceSize 0x2ca3641e
BillboardOpacityCosine 0x81cdd269
EdgeNormalSharpness 0x3bbaf53
PrimararyColorVariationNormalBlend 0xf34c3be1
TextureIsGrayscale 0x375d453b
TexBcaTex 0xddec851a
EnergyDistortionLinesStrength 0x67a07b27
TexEmissiveTexture 0xd674e373
TexSnowMaskTexture 0x560f0e7b
TextureTile 0x5a341fb6
SliderDistortion 0x12f3c883
DistTexMult 0xfb591648
DropSelectOutsideMapDarkening 0x228ac8fe
TexErodeTexture 0x6a7924b9
TextureDensityVisualization 0x63629748
SampEmissiveMap 0x16ba4e7f
SampFlattenTexture 0x42177ec1
SampGeneratedTerrainAlbedo 0x16a07fef
PlxBias 0x77b92554
TexNoiseTex 0x5e80ca4e
SssOverLife 0xf033bf66
IsClose 0x680e8ba1
ColorFresnelInvert 0x70a6ecb2
AoLowestValue 0xe8fef8d1
TexDetailTex 0x6361bc58
GlassCurve 0xaeb2af1a
RibbonPositionOffset 0x2ba2b17d
AddBurning 0x9afb32d3
IrisSpotsOffset 0x5025dc65
TexHmap 0x71ba21bc
TopGlowMult 0xc5b203a2
SampMra 0x966ff151
TexEmissivemask 0x68d06c9
SecondaryMaterialColor 0x211884a0
TearAmountCape 0x5b1ccb6e
TexGradient 0xce5b67cf
MieTintHax 0xb013d3df
SampBaseData 0x8f1755ef
TopGlowTighten 0xeb848c1a
TilingNoise 0xaebdb8d8
ColorBase 0x369b56ad
RibbonUvOffset 0x7fa919f8
TexTextureData 0xa8de0bc
LampArea 0x990b928e
TexVeinsData 0x140b808f
TexDetailNormalLeather 0x9aceb852
CurvatureStr 0x35767e9b
ShadowColor 0x7701209e
DepthSubdermal 0xc0405d49
ColorVariationRedChannel 0xa923ba11
BaseColor 0x604318cd
PositionalSpeedMult 0x1105d51f
SampWorldmask 0x9bce4b6f
TexEmissiveMask 0xdd6aed9a
FadeSmoothstepMax 0x7a6b7d4a
UvPinchAmount 0x60772ebb
TexBaseColor 0xc6842df5
PivotPoint 0xfc5ba572
SnowSubsurfaceThickness 0x2072911a
BottomFadeTighten 0x7498df86
TexTerrainHeightMask 0xe7434eaa
NormalMapColoringAmount 0xda705ea8
SampGradient 0xd0f148b7
SampTexturePack 0x4d589543
AoIsColor 0xc6ceee24
SampVolumetricCloudsColorProbe 0xa0b73657
IrisColorLutPicker 0x36730bef
SnowHardnessTop 0x18a050f
CloseColor 0xdd6c6122
TexSclarFieldOpacity 0xe4a0093e
FlipNormals 0x3b3c1809
AngleFadeAmount 0x5c8530da
VertexOffsetSineMin 0x9674d534
CoriolisForce 0xe27ae9f
